EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
SK,47,Slovakia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00296664068051362
SI,48,Slovenia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00327717635906424
HR,49,Croatia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0187129216144558
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.236712585769594
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.106265422940254
GE,54,Georgia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,1.26005930738398e-09
CY,55,Cyprus,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,2.41543214883489e-05
LI,59,Liechtenstein,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,3.00688971765339e-06
DE,60,Germany,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0290027128072245
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,1.88659322765746
NOA,63,North Africa,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.624272947400575
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0129538628529936
AZ,69,Azerbaijan,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00453557187872672
RS,72,Serbia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.129721807003021
ME,73,Montenegro,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.331812095030873
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.000101532340051093
